web-scraper-order,web-scraper-start-url,comment,user,Experience time,score,location,Triptype,score1,score2,score3,score4,score5,score6
1646392474-350,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Amari offers a fine quality and value-for-money hotel. My room was most comfortable and was made to feel very comfortable by the friendly and delightful staff. The pool area was good, although there could have been more shade provided. The lack of a restaurant in the hotel building limited the restaurant options to the Mantra, a short walk away, which I did not avail myself. However, overall I was very happy with the hotel and look forward to returning when all the renovations are completed.",Frank,?.?.-18,4,,Solo,4-Value,5-Rooms,3-Location,4-Cleanliness,4-Service,4-Sleep Quality
1646392474-470,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,We booked for the Deluxe Ocean King room. Fortunately the front desk staff has upgraded us to the Junior suite with sea view (no club benefit) in the lower floor. My children are very happy with the spacious room and the panoramic sea view. Welcome drink for children are an apple juice with snack bar. It's a great hotel for family. Love it!,Krittapak P,?.?.-15,4,,Family,null,null,null,null,null,null
1646392474-444,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"My wife and I stayed at Amari Ocean for a week in August. We really liked it there, and the service was really top class. I rate it excellent due to the very nice staff, general condition of the hotel, and the fact that you can tell they actually do clean the rooms. 
One thing that was a bit weird was the toilet in the room. The door is a glass door, and does not cover the door frame. Means whoever is in there can be heard, and uhmm smelled in the entire room as well. Just slightly odd for such a nice hotel.
Breakfast was fantastic. Busy, but still he staff were always very nice and helpful. If you can't find anything to your liking at the breakfast buffet I would say the problem is with you, not the buffet:)
We would certainly come back and stay at this hotel again.",Erik I,?.?.-16,5,"Luxembourg City, Luxembourg",Couple,null,null,null,null,null,null
1646392474-257,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"1. Time consuming for both check in & check out. I've wasted 3hrs only for checking in when i arrived the hotel 15:00 (already later than normal check in time)
2. Too crowded that we could not utilise the hotel's facilities, not to mention social distancing rule, there were almost none.
3.Some staffs are terrible at services. I have to get baby chair & cutlery by myself (there's only me &4yrs child) 
4. Booked for spa but the staff said she forgot to call back for confirmation.
5. The handling & management are failure. (the hotel did contact back to ask me for 2nd chance & opportunity to service me for next stay. I don't understand why should I spend my money just for you to make the amendments ) I Did record almost whole conversation incase you think i made this unfair judgement. 
What an unpleasant stay & experience at Amari Pattaya(Thailand)",Araya K,?.?.-21,1,,Family,null,null,null,null,null,null
1646392474-320,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"My kids really like the swimming pool.  It looks safe and clean.  However, the room service had slow response. Some floors have not been renovated yet.  I've got the room on the floor which was renovated but the next floor is under renovation so the smell of paint thinner comes to my room.  After informing reception, it took quite long time to find and move into the new room.  So it's quite harmful especially to kids.  The new room I've got has not been renovated yet so it' quite old and the bunk bed is not safe.  There is no safety rail.  The bath hanger is broken and can't hold the shower.
The Front desk staff and concierge are friendly and but the team member at Amaya (breakfast) are not.",Suree W,?.?.-19,1,"Bangkok, Thailand",Family,1-Value,5-Rooms,5-Location,3-Cleanliness,2-Service,5-Sleep Quality
1646392474-262,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Overall ok, suitable for families. Good location, next to the beach, convenient, good service, good cleanliness, spacious rooms, good facilities. I have to tell about the bed, pillows, very comfortable, but I would like to adjust the breakfast menu (Thai food).",Pichet P,?.?.-21,4,,Family,4-Value,4-Rooms,4-Location,4-Cleanliness,3-Service,5-Sleep Quality
1646392474-249,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"The room is wonderful with the breathtaking 180 degree  ocean view.  All staffs are professional, well trained, and polite, especially “Gail”. She is so caring, gentle, good-humoured, approachable. I could see her smile under her mask when I was checking in with her. Thank you so much for the warm welcome.",Paris,?.?.-21,5,"Pattaya, Thailand",Friends,null,null,null,null,null,null
1646392474-421,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Junior suite room, that was my room. No sea view. The hotel is good but the service was not upto mark. The staff were not very welcoming and friendly. They were almost a little rude, I understand their hotel was full house but they should treat all customers with respect nonetheless. Their attitude was like ""we are full house so we dont care, if you wanna go then go"" thats the vibe we got there. However, their executive club room is amazingly beautiful, so is the ocean view junior suite. If they behave better I would have said this was an amazing hotel and given 5 stars.",Maisha C,?.?.-17,3,"Dhaka City, Bangladesh",Family,null,null,null,null,null,null
1646392474-485,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"We stayed in the ocean tower in October for 5 nights from the 21 oct. we have stayed at this hotel before .this hotel is amazing the grounds, room, staff are all great. Breakfast is amazing with plenty of choice. The rooms are light and spacious with great sea views the bathroom is amazing all open planned The hotel is in a great location not to far to the hustle and bustle of Pattaya and walking street, blue public open cab taxis at a cost of 10 thb are constantly stopping outside drive into the hotel , you can also walk if prefer, there are a couple of pools at the hotel set in great grounds. Do not hesitate in booking this hotel, we have stayed at the centara before however this hotel wins hands down , will defo book again for April next",Airbus1979,?.?.-15,5,"Kent, United Kingdom",Couple,5-Location,5-Service,null,null,null,null
1646392474-251,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"We chose this hotel for our the birthday celebration. We came here to check in around 2.15 pm and the room was not ready but what really surprised us was that the staff offered us to wait at the pool side or went out and came back in 1 hour. We refused to do that and Khun Lailar finally invited us to lounge for a drink.  The hotel nicely upgraded us to the duplex suite with lounge access to remedy. The room was set up with a birthday cake and a bottle sparkling wine. That was really impressed. We did enjoy the room and lounge moment.  But, we had found out that there was no robe in the closet and we did call the front office to get them as we planned to go to pool early morning before the kids. We waited about an hour with 2 follow up calls and nothing happened till we got them",Sunshine,?.?.-21,3,"Bangkok, Thailand",null,3-Cleanliness,1-Service,5-Sleep Quality,null,null,null
1646392474-405,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Nice place to stay in pattaya.. Service is excellent and have a good view from room also a nice restaurant.. Have a best Breakfast ever.. Nice pool where you can enjoy with your friends and family.. Staff is also cooperate with us with quality service..👍🏻,krunal2017,?.?.-17,5,,Friends,5-Value,4-Rooms,4-Location,5-Cleanliness,4-Service,4-Sleep Quality
1646392474-293,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"stayed for 3 nights with friend.  booked a deluxe ocean view room, good view for the beach and garden of the hotel as well.  Room is comfort, neat and spacious.   Staff is nice and helpful.  Location of this hotel is excellent.  A lovely swimming pool that we spent every half day and enjoyed very much.  We are satisfied that we'll come back!",Rita AY,?.?.-19,5,"Hong Kong, China",null,4-Value,5-Location,4-Service,null,null,null
1646392474-449,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"We stayed at the hotel some nights in October. We were quite satisfied with our stay in spite of some minor problems.
When we arrived we did not get a third bed in one of our rooms as we had ordered beforehand. The safe in the same room did not function either. And during our stay the handle to the verandah door in our second room ceased to work. 
The missing bed and the safe was irritating, but the hotel got it fixed fairly quickly. As to the handle it should have been better maintained, but it wasn't.
But why bother?  The hotel is very good and we enjoyed our stay. 
The rooms were large and comfortable, the bathroom all right, the swimming pools very good, the breakfast delicious and outdoor areas well groomed. But the hotel is a little worn. That's a fact. 
What we didn't like, however, was that the bathroom was not properly cleaned every day.
Look for morek reviews by Mulle Ellum.",MulleEllum,?.?.-16,4,"Oslo, Norway",Friends,null,null,null,null,null,null
1646392474-250,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,We have been away from family trip for years due to COVID19. This was the first time after the country started to unlock. My kids were very enjoyable with the pools and the kid club. Highly recommend and we will definitely return.,kitti0ui,?.?.-21,5,,Family,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-416,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Hello , visited Pattaya with friends... stayed at Amari Ocean.
This property is ideally located at Beach road, next to all popular cafes , restaurants, facing famous beach road.... walking distance to Mall & very convenient for public transport ( Took took )
Hotel is undergoing renovation, so you will find construction  activity near by.... 
Staff is very polite and courteous,..... special mentioning of security staff , they are very very soft spoken and ever smiling.  Really admire it.
Pool at hotel is very relaxing with Pool Bar a must try...
Hotel has excellent infrastructure.
Highly recommended for Family travel and somebody who is looking for luxury vacation at value for money....",benkalra,?.?.-17,5,"Chandigarh, India",Friends,null,null,null,null,null,null
1646392474-506,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,We had the most Pleasant stay here. The staff is simply wonderful. The hotel too is at a perfect location - beach at one side and the city at the other. Easy access to everything. The room and all other facilities are great.,s_virgilia,?.?.-15,5,"Dubai, United Arab Emirates",Couple,5-Rooms,5-Service,5-Sleep Quality,null,null,null
1646392474-489,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Amari Ocean is located at the extreme end of the beach, far and away from the hustling and bustling activities of Walking Street at the other end of the beach.
We chose this hotel primarily because of the rates ... below SGD 100/-
It was a good decision as the hotel did not disappoint and the location was great.
The hotel is located only 3 minutes walk away from the beach.  Although the beach may not be as good as those in Koh Larn, there are still beachgoers swimming here.  As it is not near the walking street, it is less crowded and this is ideal for us. 
Amari Ocean  rooms were great!  Big and new, with modern facilities, bath tub, separate standing bath, separate toilet cubicle, marbled walls and vanity tops, and a nice balcony looking down the swimming pool and outwards to the ocean.
Amari hotel is a large property , with different wings - Ocean and Garden.  The Tavern bar serves good western meals, and a mix of asian food.  The tom yam kung is great !
Breakfast was included in the rate and the selections of food were good.  We looked forward to breakfast every morning. 
This is one hotel we will definitely love to stay if we were to be back to Pattaya again. Ideal for familes, couples or group of friends.",BENJAMIN L,?.?.-15,5,"Singapore, Singapore",Friends,5-Rooms,5-Cleanliness,4-Service,null,null,null
1646392474-500,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"A good place to stay with family. The hotel has three swimming pools which are shared with Amari Orchid. The hotel has ample dining choices between its restaurants and the food is quite delicious, although the menu could have more Indian food choices.
This is a bit far from the walking street but is closer to the shopping malls.
It is really quiet and peaceful which worked for us very well.
Overall a value for money.",akhilbartaria,?.?.-15,4,"Pune, India",Family,null,null,null,null,null,null
1646392474-478,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Staying here again business and pleasure!
Fantastic place to be!
Breakfast buffet varied and delicious
Pool inviting, large lap pool, very clean and well maintained!
Beautiful manicured gardens
Rooms well fitted and up to date with ocean pool view spectacular  
Wifi excellent
Love staying here!!! Resort facilities",Lorette B,?.?.-15,5,"Melbourne, Australia",Business,null,null,null,null,null,null
1646392474-318,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,3 bedroom suites is really nice. Very comfortable room and space. Service from staff are really great and polite. Nice and exciting pool for kids with water slides and water playground.  Suites for family with kids,kusumatri,?.?.-19,5,Bangkok,Family,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-317,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Great location as situated on the beach road. Easy access to the new Terminal 21 shopping mall so food will never be an issue. The facility is newly renovated so it looks very nice and clean.  Staff is friendly and helpful.
Our problem with the room facility maybe one of those bad hair day!",Santi J,?.?.-19,3,,Family,5-Value,2-Rooms,5-Location,3-Cleanliness,4-Service,5-Sleep Quality
1646392474-368,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"This is our 2nd stay at the Amari Ocean Pattaya and enjoyed the experience once again. The hotel is currently constructing  and renovating a second wing but is no inconvenience at all. The hotel and its staff are extremely courteous, respectful, friendly and a pleasure to deal with. There is absolutely nothing they won’t try to assist you. From the front desk staff at reception, room service, cleaning staff and security staff. Truly wonderful staff. Would like to comeback and see the completed project. Will have excellent swimmers pool area for families.",Dragi V,?.?.-18,5,"Melbourne, Australia",Friends,null,null,null,null,null,null
1646392474-387,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Awesome stay at the Amari Ocean Pattaya Hotel. Will recommend the Amari Ocean Pattaya Hotel to others. Great stay for all occasions & close to a lot of entertainment. Plenty of places for shopping and restaurants to try local Thai foods.,francisalecp,?.?.-17,5,"Auckland, New Zealand",Solo,3-Value,5-Rooms,4-Location,4-Cleanliness,4-Service,3-Sleep Quality
1646392474-439,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Fantastic stay with friends. We stayed in the Ocean Tower which had beautiful views of the beach and ocean. The rooms were excellent: lovely big beds, comfortable pillows, clean and stylish bathrooms. We also accessed both the evening canapes and the buffet breakfasts: both were excellent and provided a wide range of food and drink choices. Would stay here again.",Saskia S,?.?.-16,5,,null,null,null,null,null,null,null
1646392474-423,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Hotel is decent and safe for families and children there staff is so cooperative and suggest best place to visit in Pattaya Indian food is also available in hotel swimming pool is clean They also give welcome drinks when we inter hotel,Dinesh L,?.?.-16,5,,Family,null,null,null,null,null,null
1646392474-328,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Visited new Amari Suites only 1 night stay on weekend. It was really nice staying there. Thai foods at Amaya dining room made my day, Pad Thai is a must recommended menu. Their personalized service made me feel very welcome and exclusive.",ikn1ght,?.?.-19,5,"Bangkok, Thailand",null,null,null,null,null,null,null
1646392474-275,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"There are the good pool for kid activity and many type of slider. Our kid enjoy so much and need to visit again. 
  For the Hotel service is also good for us, Reception, Morning Breakfast and other service",pusits2020,?.?.-20,5,"Bangkok, Thailand",null,5-Value,5-Rooms,4-Location,5-Cleanliness,5-Service,4-Sleep Quality
1646392474-455,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Stayed for 14 nights. Been there four times before. Last visit was three years ago. And things have changed since...
Many things was worn down. Our room doorbell was stabbed(?!) broken. There was rusty circles on sink area. And black stains on the floor. Not poor cleaning obviously but things are just getting old. Some of the roofs of the cabanas by the pool were broken. Some of them had holes and some were leaking in the rain.
Cigarette smoke came somewhere to our room even our room was supposed to be non smoking. That wasn't nice.
You should defenitely fix this kind of things to make this a five star hotel again.
Other problem was certain nationalities travelling in big groups. 
There was way too little staff for them. In breakfast you had to guard your table because these groups didn't wait to be seated - they just sit where ever they liked - and sometimes tried to take your table while you were taking food. 
They also weren't asked their room number because they didn't wait to be seated. They just rushed in. Hard to say have they even paid for the breakfast.
The staff is way too kind and nice to stop their rushing.
We also saw one guest from these groups tasting chili sauce from the bowl and then putting the spoon back to the bowl! And other time those guests touching food with their hands and putting the food back! That was not hygienic at all! You should have more staff watching the food to avoid this kind of acts.
Also these big groups arrive the same time to the breakfast room and it can become very crowded. We understand that they bring money to the hotel but you should do something about these issues because in the other hand they scare away other guests.
Staff and service was still very good. 
The lobby was crowded with groups when we arrived and the staff lead us to wait in the lobby bar with welcome drinks. Finally checked us in the lobby bar so we didn't have to wait in lines. Very good service!
Pool area is one of the best in Central Pattaya - or maybe even the best. Two big pools.
Location is very good also. In the evening it was nice to walk back to hotel from the ""city centre"". 
It was good that the free wifi worked in the room (three years ago you had to pay for it).
We would come back again but hope you fix these things to make this the five star hotel it used to be.",TheMcGonens,?.?.-16,4,"Helsinki, Finland",Couple,null,null,null,null,null,null
1646392474-418,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,No tea/ coffee maker.... rooms are not consistent in size decor and furnishings even in same category of rooms.....all other things were fine and the view of room was very good. services were very prompt... cleanliness was very average.. and basic.....,anoops37,?.?.-17,3,"New Delhi, India",Friends,3-Value,3-Rooms,3-Location,3-Cleanliness,4-Service,3-Sleep Quality
1646392474-544,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"The hotel is really nice and big.  Room and bed are very tidy.  Toilet is a bit big and quite nice,  breakfast is diversity to choose that not only having thai food as the most surprising having sushi (japanese food) to choose.  The location is really great as it on the beach side and resorts aside.  It is around 15 mins for bus go to the shopping area and very convince.",T1212tw,?.?.-14,5,"Taipei, Taiwan",Friends,4-Value,5-Location,5-Service,null,null,null
1646392474-471,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"This hotel is far from the busy walking Streets so y can relax, large swimming pool , not much views on ocean though. Fantastic breakfast, all what you wish and need.
Rooms very comfortable well managed by lights easy to handle, great TV though not so many channels for a 5* Htl. Altogether fair price",pat310155,?.?.-15,4,"Ko Samui, Thailand",Friends,4-Location,5-Cleanliness,4-Service,null,null,null
1646392474-303,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"This is our eighth stay at Amari. It was formerly one of our 'go to' hotels for its genuine hospitality. After its extensive renovations we were pleased with: the opening of the pool area to the beach; the general quality of the refurbishments;  and, we loved our Executive Club Suite Ocean View room. We noted that the quality and range of food in both Amaya/Essence and the Executive Lounge has markedly declined. The Pool service is no longer welcoming, only responding to our requests after we walked up to the eatery. Generally, that is the nature of the service: it is competent/professional but neither engaging nor friendly. We really miss the Mantra: such excellent food and an elegant venue. The pool lounges have limited adjustment: great to recline not sit.
Similarly to other reviewers we have also concluded that Amari has shifted its focus upon families with young children. What is disappointing for us is that to achieve this they have cut away all the spaces for couples and single travellers to have a quiet space in and by a pool. We do enjoy seeing little children splashing about with their caring parents but, having demanding jobs, we also need space for tranquillity. I hope Amari decides to accommodate both types of guest groups again, especially as the hotel's greatest number of rooms is dedicated to one or two guests.",vicvladb,?.?.-19,3,"Melbourne, Australia",Couple,null,null,null,null,null,null
1646392474-299,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,The accommodation is very good for the family. But should add more variety to the breakfast. Due to many nationalities and religions. Overall very good Therefore would like to come back to stay here againใ,santip870,?.?.-19,5,"Bangkok, Thailand",Family,5-Value,5-Rooms,4-Location,4-Cleanliness,4-Service,4-Sleep Quality
1646392474-307,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Just returned home after several weeks at the Amari. Absolutely superb in all ways, as per usual. The refurbished rooms are well done and maintained. As are the other facilities. Staff are second to none with particular mention of Woody, Nida, Pear, Mint and Jane. Thanks for making our stay so special.",Charlie Solomon,?.?.-19,5,,null,5-Value,5-Cleanliness,5-Service,null,null,null
1646392474-535,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Reserved a Deluxe Tower room but had a complimentary upgrade to Ocean View room. First impression was that the staffs were very friendly and I was delighted to be served a free cup of Jasmine tea during check-in at the reception counter :)
1. Hotel room was spacious and overall clean, I did notice some hairs on the floor when checking-in first time, but small matter :)
2. Wireless Internet signal was steady & fast, no issue with staying connected when moving about in the hotel.
3. The tap and shower water took some time to heat up. 
4. TV channel subtitles were in Thai and I couldn't figure out how to change the language.
5. An executive floor that serves free food and drinks at 19th floor (Horizon Club Lounge), cozy place to sit and relax while having a nice view from the top of the hotel.
6. Breakfast at Essence Restaurant (3rd floor) was good with good selection of food, just hope they could add more variety in future.
Hoping to visit there again and definitely my choice of hotel when staying at Pattaya.",MCKhor,?.?.-14,5,"Penang, Malaysia",Business,4-Rooms,5-Service,5-Sleep Quality,null,null,null
1646392474-390,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Located just at the sea shore, nicely connected to the visiting places. Highly spacious room with ultra modern facilities and bathroom. Very well-mannered and jovial staffs.
You will get a lot of options for food in breakfast, it is indeed a treat to have breakfast at Amari Ocean.One can book this hotel with out a second thought.
Only issue I face was that they had huge TV in rooms , but the quality of broadcast is very poor. So, if you can't survive without a TV, then do check with them before book if they have improved the channels subscription package or not.",TanmayKM,?.?.-17,4,,Family,5-Location,5-Service,5-Sleep Quality,null,null,null
1646392474-521,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Not to be confused with Amari Garden.  Even our van got confused and dropped us off in wrong place.  Locals get confused too so make sure you remember what the front of hotel looks like. 
Very comfortable rooms/beds. Nice pool. Reasonable prices for what you get.  Got buffet breakfast as part of deal which worked out well as buffet was great. Juice bar excellent.  
Across is a busy beach with lots of foot traffic and droves of tourists and boats coming for pick ups.  Not too many choices for things to do around the area other than the beach. However,  beach around the area is not so nice. One would have to go far to find them.  Unfortunately the island hopping tours offered at hotel are not so great options.  Language was a problem with the guides.   We walked around as well and lots of areas did not inspire comfort.",Cloudatlas2013,?.?.-14,2,"Boston, Massachusetts",Friends,2-Location,4-Cleanliness,3-Service,null,null,null
1646392474-542,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Stayed at the amari ocean room no.619 from 7/09 to 12/09/2014 and just fell in love with the place.amazing location.amazingly friendly and most courteous staff from the reception to the concierge to the restaurants and the pool staff.real value for money.would definitely love to come back again .kudos to the great job done.MANINDER,Bitu-Sonia,?.?.-14,5,"New Delhi, India",Couple,null,null,null,null,null,null
1646392474-272,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"The room is clean, facilities are good, overall are value for money. The only problem is that I cannot contact the operator using in-room phone, very long time to wait and nobody pick up. Calling from outside waiting shorter. Everything is sorted out after that though.",Jet29425047595,?.?.-20,4,,null,5-Value,5-Rooms,5-Location,5-Cleanliness,4-Service,5-Sleep Quality
1646392474-343,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I was amazed with the personalized attention and warmth by your staff..we were greeted very well and all expectations were met.very very courteous staff especially Ms. LYLAR at the reception and Ms. JIRA in mantra abr.
Thanks for everything..will definitely come again.",dheerajsharma77,?.?.-18,5,"Noida, India",Family,null,null,null,null,null,null
1646392474-254,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"5.640 baht 1 night for a 2-storey suite, after checking in and waiting 1 hour and a half they tell us that it is not available, they offer us a free upgrade, we accept but they tell us to wait 30 minutes ... ok, after 1 hour they are again in the hall !!!",drago,?.?.-21,1,"Bangkok, Thailand",Family,null,null,null,null,null,null
1646392474-477,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Just spent a very relaxing 2 weeks at this resort not our first visit but definitely the best, took the opportunity to upgrade to club facilities and have to say it is worth the price for the extra pampering. Chilled out club lounge and wonderfully attentive staff made for a fantastic stay. Have to admit we were upgraded further by the delightful Na who because of a little complaint we raised made sure we were treated like royalty so well done Amari for having such great management. Future stays will be spent in similar accommodation. Top marks Amari",Ron S,?.?.-15,5,"Romford, United Kingdom",Couple,null,null,null,null,null,null
1646392474-364,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Excellent staff even though hotel was under renovations had a great stay the location is excellent May be when the renovations are finished it will be the best all in all had a memorable stay all kudos to the staff,Trip796156,?.?.-18,5,,Couple,4-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-414,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Amari hotel can offer its visitors two big outdoor swimming pools, beautifully designed rooms and delicious buffet breakfasts that are worth its price. The hotel offers good room service with staff who does their job very responsibly. There are different kinds of rooms, both for a single stay, where you could stay in a very comfortable suit with an amazing view on Pattaya city and the sea, as well as for a family visit as it can offer you bigger rooms with equally beautiful view. This place might also be great for a family vacation, since it has a very nice kid playroom where you can safely leave your children with qualified instructors. The hotel is located at the downtown area, so it takes only about 5-10 minutes, depending on the traffic, to get to Central Festival shopping mall with its huge diversity of restaurants, coffee places, shops and other entertainments.",veronichkINN,?.?.-16,5,"Dalian, China",Family,null,null,null,null,null,null
1646392474-363,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Good to stay and have a good facility provided by them staff are so polite and coperative helpfull to each other.  They prvovided medical facilities to us which would be thankfull to them. I am very greatfull to them for such a coperation,akashrastogi2535,?.?.-18,5,"Lucknow, India",Couple,5-Value,4-Rooms,4-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-446,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"This hotel is one of the best hotels in Pattaya - very clean and spacious with supportive hotel staff . Almost all rooms have 45 degree sea facing view and Suite rooms provide 180 degree view from the room. 
Breakfast - covered a good selection of Asian and European food.
Location - Excellent, most of the places can be covered while walking else Tuk Tuk will always be available at the main gate.",Alok C,?.?.-16,5,,Friends,5-Value,5-Cleanliness,5-Service,null,null,null
1646392474-344,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Well my kids loved it. Staff is warm, friendly and always smiling which is what you look forward to in a hotel. Rooms are spacious. Balcony adds to the charm. Construction around the building won't bother since you won't be spending much time in your room and there is no construction in evening. 
Hotel is 3.2 KM from the hustle and bustle so it offers a pleasant ambience. It's right across the beach so very easy to travel around or just walk. 
Mantra restaurant does a good job. Indian food options are limited but on request the Indian chef Sridhar went out of his way to arrange veg meal for us at the end of a tiring day. 
Great team at Amari ocean doing a fabulous job at making everyone feel at home. Must stay place for all types of travellers.",Pradeep Dubey,?.?.-18,5,"Mumbai, India",Family,null,null,null,null,null,null
